WellID,Date,Elevation,Type
W087,1969-11-17,1323.7,Well Water Level
W092,1969-11-17,1333.7,Well Water Level
W093,1969-11-17,1334.5,Well Water Level
W037,1970-04-10,1360.5,RPELEV
W051,1970-04-10,1360.5,RPELEV
W055,1970-04-10,1357.5,RPELEV
W037,1970-04-10,1356.2,Well Water Level
W051,1970-04-10,1356.7,Well Water Level
W055,1970-04-10,1350.2,Well Water Level
W075,1970-04-14,1372.8,RPELEV
W079,1970-04-14,1336.3,RPELEV
W086,1970-04-14,1345.7,RPELEV
W087,1970-04-14,1335.6,RPELEV
W092,1970-04-14,1358.4,RPELEV
W093,1970-04-14,1358.4,RPELEV
W075,1970-04-14,1362,Well Water Level
W079,1970-04-14,1328.2,Well Water Level
W086,1970-04-14,1329.2,Well Water Level
W087,1970-04-14,1331.9,Well Water Level
W092,1970-04-14,1337.3,Well Water Level
W093,1970-04-14,1339.6,Well Water Level
W037,1970-10-07,1360.5,RPELEV
W051,1970-10-07,1360.5,RPELEV
W055,1970-10-07,1357.5,RPELEV
W037,1970-10-07,1340.8,Well Water Level
W051,1970-10-07,1338.3,Well Water Level
W055,1970-10-07,NA,Well Water Level
W075,1970-10-08,1372.8,RPELEV
W079,1970-10-08,1336.3,RPELEV
W086,1970-10-08,1345.7,RPELEV
W087,1970-10-08,1335.6,RPELEV
W092,1970-10-08,1358.4,RPELEV
W093,1970-10-08,1358.4,RPELEV
W075,1970-10-08,1335.8,Well Water Level
W079,1970-10-08,1319.9,Well Water Level
W086,1970-10-08,1317.5,Well Water Level
W087,1970-10-08,1321.7,Well Water Level
W092,1970-10-08,1313.8,Well Water Level
W093,1970-10-08,1314.4,Well Water Level
W037,1971-04-07,1360.5,RPELEV
W037,1971-04-07,1356.5,Well Water Level
W051,1971-04-08,1360.5,RPELEV
W055,1971-04-08,1357.5,RPELEV
W075,1971-04-08,1372.8,RPELEV
W051,1971-04-08,1356.8,Well Water Level
W055,1971-04-08,1347.3,Well Water Level
W075,1971-04-08,1362.3,Well Water Level
W079,1971-04-09,1336.3,RPELEV
W086,1971-04-09,1345.7,RPELEV
W087,1971-04-09,1335.6,RPELEV
W092,1971-04-09,1358.4,RPELEV
W093,1971-04-09,1358.4,RPELEV
W079,1971-04-09,1329.2,Well Water Level
W086,1971-04-09,1331.7,Well Water Level
W087,1971-04-09,1331.2,Well Water Level
W092,1971-04-09,1342,Well Water Level
W093,1971-04-09,1342.7,Well Water Level
W037,1971-10-07,1360.5,RPELEV
W037,1971-10-07,1342.4,Well Water Level
W051,1971-10-12,1360.5,RPELEV
W055,1971-10-12,1357.5,RPELEV
W051,1971-10-12,1336.7,Well Water Level
W055,1971-10-12,1318,Well Water Level
W075,1971-10-13,1372.8,RPELEV
W079,1971-10-13,1336.3,RPELEV
W086,1971-10-13,1345.7,RPELEV
W087,1971-10-13,1335.6,RPELEV
W092,1971-10-13,1358.4,RPELEV
W093,1971-10-13,1358.4,RPELEV
W075,1971-10-13,1335.8,Well Water Level
W079,1971-10-13,1317.2,Well Water Level
W086,1971-10-13,1320.7,Well Water Level
W087,1971-10-13,1321.3,Well Water Level
W092,1971-10-13,1317.7,Well Water Level
W093,1971-10-13,1318.7,Well Water Level
W037,1972-04-03,1360.5,RPELEV
W037,1972-04-03,1352.4,Well Water Level
W051,1972-04-04,1360.5,RPELEV
W055,1972-04-04,1357.5,RPELEV
W075,1972-04-04,1372.8,RPELEV
W051,1972-04-04,1351.1,Well Water Level
W055,1972-04-04,1342.9,Well Water Level
W075,1972-04-04,1359.7,Well Water Level
W079,1972-04-06,1336.3,RPELEV
W086,1972-04-06,1345.7,RPELEV
W087,1972-04-06,1335.6,RPELEV
W092,1972-04-06,1358.4,RPELEV
W093,1972-04-06,1358.4,RPELEV
W079,1972-04-06,1325.6,Well Water Level
W086,1972-04-06,1330.3,Well Water Level
W087,1972-04-06,1329.6,Well Water Level
W092,1972-04-06,1338.2,Well Water Level
W093,1972-04-06,1340.8,Well Water Level
W037,1972-10-03,1360.5,RPELEV
W037,1972-10-03,1342,Well Water Level
W051,1972-10-04,1360.5,RPELEV
W055,1972-10-04,1357.5,RPELEV
W075,1972-10-04,1372.8,RPELEV
W079,1972-10-04,1336.3,RPELEV
W086,1972-10-04,1345.7,RPELEV
W087,1972-10-04,1335.6,RPELEV
W051,1972-10-04,1334.9,Well Water Level
W055,1972-10-04,1314.5,Well Water Level
W075,1972-10-04,1338.8,Well Water Level
W079,1972-10-04,1313.3,Well Water Level
W086,1972-10-04,1318.7,Well Water Level
W087,1972-10-04,1320.9,Well Water Level
W092,1972-10-05,1358.4,RPELEV
W093,1972-10-05,1358.4,RPELEV
W092,1972-10-05,1316.3,Well Water Level
W093,1972-10-05,1317,Well Water Level
W037,1973-03-20,1360.5,RPELEV
W051,1973-03-20,1360.5,RPELEV
W055,1973-03-20,1357.5,RPELEV
W037,1973-03-20,1355.2,Well Water Level
W051,1973-03-20,1357.8,Well Water Level
W055,1973-03-20,1352.5,Well Water Level
W075,1973-03-27,1372.8,RPELEV
W075,1973-03-27,1365.8,Well Water Level
W079,1973-03-28,1336.3,RPELEV
W086,1973-03-28,1345.7,RPELEV
W087,1973-03-28,1335.6,RPELEV
W092,1973-03-28,1358.4,RPELEV
W093,1973-03-28,1358.4,RPELEV
W079,1973-03-28,1330.4,Well Water Level
W086,1973-03-28,1333,Well Water Level
W087,1973-03-28,1332.6,Well Water Level
W092,1973-03-28,1342.9,Well Water Level
W093,1973-03-28,1343.2,Well Water Level
W037,1973-10-05,1360.5,RPELEV
W051,1973-10-05,1360.5,RPELEV
W055,1973-10-05,1357.5,RPELEV
W037,1973-10-05,1341.5,Well Water Level
W051,1973-10-05,1336,Well Water Level
W055,1973-10-05,1313.7,Well Water Level
W075,1973-10-09,1372.8,RPELEV
W079,1973-10-09,1336.3,RPELEV
W086,1973-10-09,1345.7,RPELEV
W087,1973-10-09,1335.6,RPELEV
W092,1973-10-09,1358.4,RPELEV
W093,1973-10-09,1358.4,RPELEV
W075,1973-10-09,1338.6,Well Water Level
W079,1973-10-09,1316.6,Well Water Level
W086,1973-10-09,1319.5,Well Water Level
W087,1973-10-09,1320,Well Water Level
W092,1973-10-09,1318.3,Well Water Level
W093,1973-10-09,1319.2,Well Water Level
W037,1974-04-11,1360.5,RPELEV
W051,1974-04-11,1360.5,RPELEV
W055,1974-04-11,1357.5,RPELEV
W075,1974-04-11,1372.8,RPELEV
W037,1974-04-11,1357.6,Well Water Level
W051,1974-04-11,1358.2,Well Water Level
W055,1974-04-11,1353.2,Well Water Level
W075,1974-04-11,1364.8,Well Water Level
W079,1974-04-12,1336.3,RPELEV
W086,1974-04-12,1345.7,RPELEV
W087,1974-04-12,1335.6,RPELEV
W092,1974-04-12,1358.4,RPELEV
W093,1974-04-12,1358.4,RPELEV
W079,1974-04-12,1331,Well Water Level
W086,1974-04-12,1333.7,Well Water Level
W087,1974-04-12,1333.1,Well Water Level
W092,1974-04-12,1343.5,Well Water Level
W093,1974-04-12,1344,Well Water Level
W037,1974-10-11,1360.5,RPELEV
W037,1974-10-11,1344,Well Water Level
W051,1974-10-15,1360.5,RPELEV
W055,1974-10-15,1357.5,RPELEV
W051,1974-10-15,1339.8,Well Water Level
W055,1974-10-15,1321.2,Well Water Level
W075,1974-10-16,1372.8,RPELEV
W079,1974-10-16,1336.3,RPELEV
W086,1974-10-16,1345.7,RPELEV
W087,1974-10-16,1335.6,RPELEV
W092,1974-10-16,1358.4,RPELEV
W093,1974-10-16,1358.4,RPELEV
W075,1974-10-16,1343.2,Well Water Level
W079,1974-10-16,1315.2,Well Water Level
W086,1974-10-16,1320.7,Well Water Level
W087,1974-10-16,1322.1,Well Water Level
W092,1974-10-16,1323.9,Well Water Level
W093,1974-10-16,1324.4,Well Water Level
W037,1975-04-08,1360.5,RPELEV
W037,1975-04-08,1356.5,Well Water Level
W051,1975-04-09,1360.5,RPELEV
W055,1975-04-09,1357.5,RPELEV
W075,1975-04-09,1372.8,RPELEV
W079,1975-04-09,1336.3,RPELEV
W086,1975-04-09,1345.7,RPELEV
W087,1975-04-09,1335.6,RPELEV
W092,1975-04-09,1358.4,RPELEV
W093,1975-04-09,1358.4,RPELEV
W051,1975-04-09,1357.5,Well Water Level
W055,1975-04-09,1350.1,Well Water Level
W075,1975-04-09,1364.8,Well Water Level
W079,1975-04-09,1330.3,Well Water Level
W086,1975-04-09,1331.7,Well Water Level
W087,1975-04-09,1332.6,Well Water Level
W092,1975-04-09,1342.2,Well Water Level
W093,1975-04-09,1342.4,Well Water Level
W037,1975-10-07,1360.5,RPELEV
W037,1975-10-07,1342,Well Water Level
W051,1975-10-08,1360.5,RPELEV
W055,1975-10-08,1357.5,RPELEV
W075,1975-10-08,1372.8,RPELEV
W079,1975-10-08,1336.3,RPELEV
W051,1975-10-08,1335.3,Well Water Level
W055,1975-10-08,1314.5,Well Water Level
W075,1975-10-08,1340.2,Well Water Level
W079,1975-10-08,1313.7,Well Water Level
W086,1975-10-10,1345.7,RPELEV
W087,1975-10-10,1335.6,RPELEV
W092,1975-10-10,1358.4,RPELEV
W093,1975-10-10,1358.4,RPELEV
W086,1975-10-10,1320.6,Well Water Level
W087,1975-10-10,1321.4,Well Water Level
W092,1975-10-10,1322,Well Water Level
W093,1975-10-10,1319.6,Well Water Level
